starttime	seconds	ctime	dtime	ttime	wait
Mon Aug 19 10:35:27 2019	1566210927	62	1094	1156	820
Mon Aug 19 10:34:55 2019	1566210895	287	963	1250	657
Mon Aug 19 10:35:15 2019	1566210915	57	1488	1545	1178
Mon Aug 19 10:35:13 2019	1566210913	68	1505	1573	1211
Mon Aug 19 10:35:23 2019	1566210923	62	1521	1583	1214
Mon Aug 19 10:35:19 2019	1566210919	143	1454	1597	1102
Mon Aug 19 10:35:21 2019	1566210921	83	1558	1642	1262
Mon Aug 19 10:35:16 2019	1566210916	61	1606	1667	1280
Mon Aug 19 10:35:26 2019	1566210926	84	1588	1672	1279
Mon Aug 19 10:35:08 2019	1566210908	64	1623	1687	1331
Mon Aug 19 10:35:07 2019	1566210907	63	1652	1716	1346
Mon Aug 19 10:35:10 2019	1566210910	84	1687	1771	1387
Mon Aug 19 10:35:11 2019	1566210911	74	1741	1815	1445
Mon Aug 19 10:35:03 2019	1566210903	72	1770	1842	1467
Mon Aug 19 10:35:24 2019	1566210924	62	1803	1865	1377
Mon Aug 19 10:35:12 2019	1566210912	66	1818	1884	1477
Mon Aug 19 10:35:20 2019	1566210920	121	1815	1936	1503
Mon Aug 19 10:35:24 2019	1566210924	61	1876	1937	1511
Mon Aug 19 10:35:20 2019	1566210920	107	1837	1944	1504
Mon Aug 19 10:35:17 2019	1566210917	71	1874	1945	1521
Mon Aug 19 10:35:26 2019	1566210926	88	1872	1960	1573
Mon Aug 19 10:35:22 2019	1566210922	58	1913	1971	1595
Mon Aug 19 10:35:26 2019	1566210926	103	1878	1981	1571
Mon Aug 19 10:35:05 2019	1566210905	58	1928	1986	1601
Mon Aug 19 10:35:11 2019	1566210911	67	1923	1990	1571
Mon Aug 19 10:35:03 2019	1566210903	59	1942	2001	1623
Mon Aug 19 10:35:15 2019	1566210915	67	1934	2001	1598
Mon Aug 19 10:35:16 2019	1566210916	62	1941	2002	1605
Mon Aug 19 10:35:22 2019	1566210922	74	1933	2007	1621
Mon Aug 19 10:35:13 2019	1566210913	59	1955	2014	1609
Mon Aug 19 10:35:14 2019	1566210914	59	1955	2014	1611
Mon Aug 19 10:35:24 2019	1566210924	66	1951	2018	1544
Mon Aug 19 10:35:03 2019	1566210903	67	1953	2021	1541
Mon Aug 19 10:34:57 2019	1566210897	62	1968	2029	1589
Mon Aug 19 10:35:09 2019	1566210909	71	1990	2061	1674
Mon Aug 19 10:35:09 2019	1566210909	68	2018	2087	1698
Mon Aug 19 10:35:18 2019	1566210918	65	2032	2097	1484
Mon Aug 19 10:35:07 2019	1566210907	60	2053	2113	1722
Mon Aug 19 10:34:59 2019	1566210899	61	2069	2129	1682
Mon Aug 19 10:35:07 2019	1566210907	73	2074	2148	1720
Mon Aug 19 10:35:18 2019	1566210918	63	2089	2153	1615
Mon Aug 19 10:35:01 2019	1566210901	77	2085	2162	1762
Mon Aug 19 10:34:58 2019	1566210898	80	2084	2164	1731
Mon Aug 19 10:34:56 2019	1566210896	60	2111	2170	1743
Mon Aug 19 10:35:01 2019	1566210901	81	2116	2197	1759
Mon Aug 19 10:35:05 2019	1566210905	78	2125	2203	1819
Mon Aug 19 10:35:05 2019	1566210905	67	2144	2211	1787
Mon Aug 19 10:34:58 2019	1566210898	71	2142	2213	1770
Mon Aug 19 10:34:56 2019	1566210896	73	2141	2214	1753
Mon Aug 19 10:35:01 2019	1566210901	65	2308	2373	1796
