starttime	seconds	ctime	dtime	ttime	wait
Sat Aug 17 15:53:48 2019	1566050028	61	857	918	623
Sat Aug 17 15:53:55 2019	1566050035	67	918	985	599
Sat Aug 17 15:53:49 2019	1566050029	70	1309	1379	1056
Sat Aug 17 15:53:49 2019	1566050029	73	1324	1397	1043
Sat Aug 17 15:53:51 2019	1566050031	56	1470	1526	1058
Sat Aug 17 15:53:54 2019	1566050034	62	1518	1580	1203
Sat Aug 17 15:53:52 2019	1566050032	117	1486	1603	1183
Sat Aug 17 15:53:52 2019	1566050032	97	1538	1636	1181
Sat Aug 17 15:53:54 2019	1566050034	73	1570	1644	1209
Sat Aug 17 15:53:50 2019	1566050030	79	1587	1665	1115
